Symbol;Name;Symbol2;Currency
RS2G;Amundi Index Solutions-Amundi Russell 2000;RS2G;GBP
3TYL;Boost US Treasuries 10Y 3x Leverage Daily ETP;3TYL;GBP
3NIS;ETFS 3x Daily Short Nickel;3NIS;USD
3EUL;Boost EURO STOXX 50 3x Leverage Daily ETP;3EUL;EUR
XMDU;Xtrackers Morningstar US Quality Dividend UCITS ETF;XMDU;USD
XSNR;Xtrackers Stoxx Europe 600 Industrial Goods Swap UCITS ETF;XSNR;GBP
DHSG;WisdomTree US Equity Income UCITS ETF;DHSG;GBP
LGAP;L&G Asia Pacific ex Japan Equity UCITS ETF;LGAP;USD
UKEUAH;UBS ETF - MSCI United Kingdom hedged to EUR UCITS ETF;0HAX;EUR
SOFF;ETFS Longer Dated Softs;SOFF;USD
XS3R;Xtrackers Stoxx Europe 600 Food & Beverage Swap UCITS ETF;XS3R;GBP
1GIS;Boost Gilts 10Y 1x Short Daily ETP;1GIS;GBP
2SIL;Boost Silver 2x Leverage Daily ETP;2SIL;USD
SCFE;ETFS 1X Daily Short Coffee;SCFE;USD
3LES;Boost EURO STOXX 50 3x Short Daily ETP;3LES;GBP
OSW1;ETFS WTI 1yr;OSW1;USD
LIVU;UBS ETC linked to the UBS Bloomberg CMCI Livestock USD Total Return Index;LIVU;USD
XCS6;Xtrackers MSCI China UCITS ETF;XCS6;USD
XSPD;Xtrackers S&P 500 Inverse Daily Swap UCITS ETF;XSPD;USD
500U;Amundi S&P 500 UCITS ETF;500U;USD
BRTU;UBS ETC linked to the UBS Bloomberg CMCI Components USD Total Return Brent Crude;BRTU;USD
CU2G;Amundi Index Solutions-Amundi Msci USA;CU2G;GBP
0JJC;iShares U.S. Home Construction ETF;0JJC;USD
WTES;WisdomTree Europe SmallCap Dividend UCITS ETF;0W3K;EUR
E572;ComStage CBK US-Treasury Bond Future Short TR UCITS ETF;0HDZ;EUR
GBAU;ETFS Long AUD Short GBP;GBAU;GBP
GBSK;ETFS Long SEK Short GBP;GBSK;GBP
3CRL;ETFS 3x Daily Long WTI Crude Oil;3CRL;USD
